"Event Category","Event Action","Event Label","Event Value","Custom Event Properties","Country","Client IP Country","User ID"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":3,""revive_type"":""DIA"",""stage_id"":2004}","jp","Japan","YZR55E"
"stage (App)","clear","3011",,"{""last_level"":21}","kr","South Korea","DQQ4G0"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":2,""revive_type"":""REVIVAL_COIN"",""stage_id"":2004}","jp","Japan","YZR55E"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","XZW0VW"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2004}","jp","Japan","YZR55E"
"stage (App)","fail","3004",,"{""last_level"":18}","jp","Japan","GO10XG"
"stage (App)","fail","2012",,"{""last_level"":10}","kr","South Korea","BT8F7O"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","YZR55E"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":2,""revive_type"":""DIA"",""stage_id"":2012}","kr","South Korea","BT8F7O"
"stage (App)","fail","2004",,"{""last_level"":9}","jp","Japan","YZR55E"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2012}","kr","South Korea","BT8F7O"
"stage (App)","try","3011",,"{""last_level"":0}","kr","South Korea","DQQ4G0"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","YZR55E"
"stage (App)","fail","2012",,"{""last_level"":21}","kr","South Korea","OYSKFS"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","clear","3005",,"{""last_level"":21}","kr","South Korea","TY36PK"
"stage (App)","fail","3004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","BT8F7O"
"stage (App)","fail","2012",,"{""last_level"":10}","kr","South Korea","BT8F7O"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":2,""revive_type"":""REVIVAL_COIN"",""stage_id"":2012}","kr","South Korea","BT8F7O"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":2,""revive_type"":""REVIVAL_COIN"",""stage_id"":2012}","kr","South Korea","OYSKFS"
"stage (App)","fail","2004",,"{""last_level"":9}","kr","South Korea","KT5QBC"
"stage (App)","fail","3009",,"{""last_level"":14}","kr","South Korea","XZW0VW"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2012}","kr","South Korea","BT8F7O"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":11}","jp","Japan","GO10XG"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":3009}","kr","South Korea","XZW0VW"
"stage (App)","try","2004",,"{""last_level"":0}","kr","South Korea","KT5QBC"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2012}","kr","South Korea","OYSKFS"
"stage (App)","try","3005",,"{""last_level"":0}","kr","South Korea","TY36PK"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","BT8F7O"
"stage (App)","fail","2012",,"{""last_level"":9}","kr","South Korea","BT8F7O"
"stage (App)","fail","3004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage (App)","try","3009",,"{""last_level"":0}","kr","South Korea","XZW0VW"
"stage (App)","fail","3009",,"{""last_level"":11}","kr","South Korea","XZW0VW"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","BT8F7O"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","OYSKFS"
"stage (App)","fail","2012",,"{""last_level"":9}","kr","South Korea","BT8F7O"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","clear","2009",,"{""last_level"":21}","kr","South Korea","TY36PK"
"stage (App)","fail","3004",,"{""last_level"":11}","jp","Japan","GO10XG"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2009}","kr","South Korea","TY36PK"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","BT8F7O"
"stage (App)","fail","2012",,"{""last_level"":5}","kr","South Korea","BT8F7O"
"stage (App)","try","3009",,"{""last_level"":0}","kr","South Korea","XZW0VW"
"stage (App)","fail","3009",,"{""last_level"":15}","kr","South Korea","XZW0VW"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","BT8F7O"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","2004",,"{""last_level"":7}","jp","Japan","GO10XG"
"stage (App)","fail","2012",,"{""last_level"":10}","kr","South Korea","BT8F7O"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":3009}","kr","South Korea","XZW0VW"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2012}","kr","South Korea","BT8F7O"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","2004",,"{""last_level"":7}","jp","Japan","GO10XG"
"stage (App)","try","2009",,"{""last_level"":0}","kr","South Korea","TY36PK"
"stage (App)","fail","2009",,"{""last_level"":11}","kr","South Korea","TY36PK"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","BT8F7O"
"stage (App)","fail","2012",,"{""last_level"":3}","kr","South Korea","BT8F7O"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","2004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","BT8F7O"
"stage (App)","fail","2009",,"{""last_level"":10}","jp","Japan","Z0AT7V"
"stage (App)","try","3009",,"{""last_level"":0}","kr","South Korea","XZW0VW"
"stage (App)","fail","2012",,"{""last_level"":11}","kr","South Korea","XZW0VW"
"stage (App)","try","2009",,"{""last_level"":0}","kr","South Korea","TY36PK"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2009}","jp","Japan","Z0AT7V"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2012}","kr","South Korea","XZW0VW"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","clear","3011",,"{""is_repeat_play"":true,""last_level"":21}","kr","South Korea","I6CUG2"
"stage (App)","clear","2011",,"{""last_level"":21}","kr","South Korea","BT8F7O"
"stage (App)","fail","2004",,"{""last_level"":10}","jp","Japan","GO10XG"
"stage (App)","try","2009",,"{""last_level"":0}","jp","Japan","Z0AT7V"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","2004",,"{""last_level"":11}","jp","Japan","GO10XG"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","XZW0VW"
"stage (App)","try","2011",,"{""last_level"":0}","kr","South Korea","BT8F7O"
"stage (App)","try","3011",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","I6CUG2"
"stage (App)","fail","2013",,"{""last_level"":8}","kr","South Korea","I6CUG2"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":7}","jp","Japan","GO10XG"
"stage (App)","try","2013",,"{""last_level"":0}","kr","South Korea","I6CUG2"
"stage (App)","fail","2013",,"{""last_level"":12}","kr","South Korea","I6CUG2"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage (App)","fail","2009",,"{""last_level"":20}","jp","Japan","E8HRDG"
"stage (App)","try","2013",,"{""last_level"":0}","kr","South Korea","I6CUG2"
"stage (App)","fail","2013",,"{""last_level"":10}","kr","South Korea","I6CUG2"
"stage (App)","fail","2012",,"{""last_level"":5}","kr","South Korea","BFNFM5"
"stage (App)","clear","3012",,"{""last_level"":21}","kr","South Korea","YPNIQF"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":2,""revive_type"":""REVIVAL_COIN"",""stage_id"":2009}","jp","Japan","E8HRDG"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","BFNFM5"
"stage (App)","try","2013",,"{""last_level"":0}","kr","South Korea","I6CUG2"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2009}","jp","Japan","E8HRDG"
"stage (App)","clear","6002",,"{""last_level"":21}","kr","South Korea","I6CUG2"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage (App)","clear","2004",,"{""last_level"":21}","kr","South Korea","A426TH"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":2,""revive_type"":""DIA"",""stage_id"":2004}","kr","South Korea","A426TH"
"stage (App)","try","2009",,"{""last_level"":0}","jp","Japan","E8HRDG"
"stage (App)","fail","6002",,"{""last_level"":19}","jp","Japan","E8HRDG"
"stage (App)","try","6002",,"{""last_level"":0}","kr","South Korea","I6CUG2"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2004}","kr","South Korea","A426TH"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","clear","3011",,"{""is_repeat_play"":true,""last_level"":21}","kr","South Korea","I6CUG2"
"stage (App)","clear","3008",,"{""last_level"":21}","kr","South Korea","J73L0K"
"stage (App)","fail","3004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage (App)","try","3012",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":6002}","jp","Japan","E8HRDG"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":5}","jp","Japan","GO10XG"
"stage (App)","try","2004",,"{""last_level"":0}","kr","South Korea","A426TH"
"stage (App)","clear","3001",,"{""last_level"":21}","jp","Japan","ELRVRU"
"stage (App)","fail","3007",,"{""last_level"":11}","kr","South Korea","A426TH"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","try","3011",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","I6CUG2"
"stage (App)","fail","3004",,"{""last_level"":8}","jp","Japan","GO10XG"
"stage (App)","fail","3011",,"{""is_repeat_play"":true,""last_level"":13}","kr","South Korea","I6CUG2"
"stage (App)","try","3012",,"{""last_level"":0}","kr","South Korea","YPNIQF"
"stage (App)","try","3008",,"{""last_level"":0}","kr","South Korea","J73L0K"
"stage (App)","fail","2009",,"{""last_level"":9}","jp","Japan","U58201"
"stage (App)","clear","2010",,"{""last_level"":21}","kr","South Korea","D66KCQ"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":7}","jp","Japan","GO10XG"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2010}","kr","South Korea","D66KCQ"
"stage (App)","try","3007",,"{""last_level"":0}","kr","South Korea","A426TH"
"stage (App)","try","6002",,"{""last_level"":0}","jp","Japan","E8HRDG"
"stage (App)","try","3011",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","I6CUG2"
"stage (App)","try","2009",,"{""last_level"":0}","jp","Japan","U58201"
"stage (App)","clear","6002",,"{""last_level"":21}","kr","South Korea","BFNFM5"
"stage (App)","fail","2009",,"{""last_level"":11}","jp","Japan","U58201"
"stage (App)","try","3001",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","clear","3006",,"{""last_level"":21}","kr","South Korea","A426TH"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","2004",,"{""last_level"":7}","jp","Japan","ELRVRU"
"stage (App)","clear","3010",,"{""is_repeat_play"":true,""last_level"":21}","kr","South Korea","I6CUG2"
"stage (App)","fail","3004",,"{""last_level"":7}","jp","Japan","GO10XG"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","clear","2008",,"{""last_level"":21}","jp","Japan","HE97GV"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","2004",,"{""last_level"":11}","jp","Japan","ELRVRU"
"stage (App)","try","2009",,"{""last_level"":0}","jp","Japan","U58201"
"stage (App)","clear","6002",,"{""last_level"":21}","jp","Japan","R68LJO"
"stage (App)","fail","3004",,"{""last_level"":14}","jp","Japan","GO10XG"
"stage (App)","try","3010",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","I6CUG2"
"stage (App)","clear","2010",,"{""is_repeat_play"":true,""last_level"":21}","kr","South Korea","I6CUG2"
"stage (App)","fail","2009",,"{""last_level"":10}","jp","Japan","U58201"
"stage (App)","try","3006",,"{""last_level"":0}","kr","South Korea","A426TH"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","fail","2004",,"{""last_level"":10}","jp","Japan","ELRVRU"
"stage (App)","try","6002",,"{""last_level"":0}","kr","South Korea","BFNFM5"
"stage (App)","fail","6003",,"{""last_level"":2}","kr","South Korea","BFNFM5"
"stage (App)","clear","3005",,"{""last_level"":21}","kr","South Korea","A426TH"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":7}","jp","Japan","GO10XG"
"stage (App)","try","2010",,"{""last_level"":0}","kr","South Korea","D66KCQ"
"stage (App)","try","6003",,"{""last_level"":0}","kr","South Korea","BFNFM5"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":3,""revive_type"":""DIA"",""stage_id"":3005}","kr","South Korea","A426TH"
"stage (App)","try","2008",,"{""last_level"":0}","jp","Japan","HE97GV"
"stage (App)","try","2009",,"{""last_level"":0}","jp","Japan","U58201"
"stage (App)","fail","2010",,"{""last_level"":7}","kr","South Korea","D66KCQ"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","fail","2004",,"{""last_level"":13}","jp","Japan","ELRVRU"
"stage (App)","fail","3012",,"{""last_level"":12}","kr","South Korea","BFNFM5"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":10}","jp","Japan","GO10XG"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":2,""revive_type"":""REVIVAL_COIN"",""stage_id"":3005}","kr","South Korea","A426TH"
"stage (App)","try","6002",,"{""last_level"":0}","jp","Japan","R68LJO"
"stage (App)","fail","6003",,"{""last_level"":2}","jp","Japan","R68LJO"
"stage (App)","try","2010",,"{""last_level"":0}","kr","South Korea","D66KCQ"
"stage (App)","clear","3002",,"{""last_level"":21}","kr","South Korea","VM69K3"
"stage (App)","fail","2010",,"{""last_level"":6}","kr","South Korea","D66KCQ"
"stage (App)","try","2010",,"{""is_repeat_play"":true,""last_level"":0}","kr","South Korea","I6CUG2"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":3005}","kr","South Korea","A426TH"
"stage (App)","fail","2009",,"{""last_level"":9}","kr","South Korea","UOROXP"
"stage (App)","try","6003",,"{""last_level"":0}","jp","Japan","R68LJO"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","2013",,"{""last_level"":12}","jp","Japan","R68LJO"
"stage (App)","fail","3004",,"{""last_level"":7}","jp","Japan","GO10XG"
"stage (App)","try","3012",,"{""last_level"":0}","kr","South Korea","BFNFM5"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":3,""revive_type"":""DIA"",""stage_id"":2013}","jp","Japan","R68LJO"
"stage (App)","fail","2012",,"{""last_level"":8}","kr","South Korea","BFNFM5"
"stage (App)","try","2010",,"{""last_level"":0}","kr","South Korea","D66KCQ"
"stage (App)","try","2009",,"{""last_level"":0}","kr","South Korea","UOROXP"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","fail","2010",,"{""exit_type"":""voluntary_exit"",""last_level"":4}","kr","South Korea","D66KCQ"
"stage (App)","fail","2010",,"{""last_level"":4}","kr","South Korea","D66KCQ"
"stage (App)","fail","2004",,"{""last_level"":7}","jp","Japan","ELRVRU"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":2,""revive_type"":""REVIVAL_COIN"",""stage_id"":2013}","jp","Japan","R68LJO"
"stage (App)","clear","3008",,"{""last_level"":21}","kr","South Korea","UOROXP"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","try","3002",,"{""last_level"":0}","kr","South Korea","VM69K3"
"stage (App)","fail","3004",,"{""last_level"":9}","jp","Japan","GO10XG"
"stage (App)","try","2010",,"{""last_level"":0}","kr","South Korea","D66KCQ"
"stage (App)","fail","2010",,"{""exit_type"":""voluntary_exit"",""last_level"":3}","kr","South Korea","D66KCQ"
"stage (App)","fail","2010",,"{""last_level"":3}","kr","South Korea","D66KCQ"
"stage (App)","try","2012",,"{""last_level"":0}","kr","South Korea","BFNFM5"
"stage_revive (App)","StageRevive","StageRevive",,"{""revive_count"":1,""revive_type"":""AD"",""stage_id"":2013}","jp","Japan","R68LJO"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","clear","2008",,"{""last_level"":21}","kr","South Korea","VM69K3"
"stage (App)","try","2010",,"{""last_level"":0}","kr","South Korea","D66KCQ"
"stage (App)","fail","2010",,"{""last_level"":8}","kr","South Korea","D66KCQ"
"stage (App)","fail","2004",,"{""last_level"":9}","jp","Japan","ELRVRU"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":7}","jp","Japan","GO10XG"
"stage (App)","try","3005",,"{""last_level"":0}","kr","South Korea","A426TH"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","ELRVRU"
"stage (App)","try","2010",,"{""last_level"":0}","kr","South Korea","D66KCQ"
"stage (App)","fail","2010",,"{""last_level"":6}","kr","South Korea","D66KCQ"
"stage (App)","try","2013",,"{""last_level"":0}","jp","Japan","R68LJO"
"stage (App)","fail","2013",,"{""last_level"":8}","jp","Japan","R68LJO"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","try","3008",,"{""last_level"":0}","kr","South Korea","UOROXP"
"stage (App)","fail","3004",,"{""last_level"":7}","jp","Japan","GO10XG"
"stage (App)","clear","2008",,"{""last_level"":21}","kr","South Korea","UOROXP"
"stage (App)","fail","2004",,"{""last_level"":18}","jp","Japan","ELRVRU"
"stage (App)","clear","3003",,"{""last_level"":21}","kr","South Korea","1SZHFS"
"stage (App)","try","2013",,"{""last_level"":0}","jp","Japan","R68LJO"
"stage (App)","try","2010",,"{""last_level"":0}","kr","South Korea","D66KCQ"
"stage (App)","try","2008",,"{""last_level"":0}","kr","South Korea","VM69K3"
"stage (App)","try","3004",,"{""last_level"":0}","jp","Japan","GO10XG"
"stage (App)","fail","3004",,"{""last_level"":10}","jp","Japan","GO10XG"
"stage (App)","try","2008",,"{""last_level"":0}","kr","South Korea","UOROXP"
"stage (App)","try","3003",,"{""last_level"":0}","kr","South Korea","1SZHFS"
"stage (App)","try","2004",,"{""last_level"":0}","jp","Japan","ELRVRU"
